meter,total_consumption,avg_consumption,std_dev,peak,missing_pct,segment,volatility
MAC001432,3298.2829993,0.18877535481341576,0.22590633634053484,2.4360001,0.273972602739726,Commercial,1.1903881647995995
MAC001433,2846.2679996,0.16249531854304636,0.21231756056525863,5.6160002,0.0228310502283105,Commercial,1.2986155350335489
MAC001434,3410.4560001,0.19469406862476452,0.25796361648086036,2.48,0.017123287671232876,Commercial,1.3181984425674913
MAC001436,1426.8479998999999,0.08144109588470319,0.10898694393184674,1.382,0.0,Residential,1.3219977580631492
MAC001438,2883.6339983999997,0.1646379673651156,0.22825770200730364,2.003,0.028538812785388126,Commercial,1.3780518176980245
MAC001439,2937.4600002,0.16767281238655177,0.21900428054211066,4.0739999,0.005707762557077625,Commercial,1.298397041250566
MAC001441,1842.4810003,0.10527259743457891,0.12705243749995035,1.734,0.10273972602739725,Residential,1.1955333789424263
MAC001442,3863.4180003,0.22053990183240096,0.2994314976888005,2.2219999,0.01141552511415525,Commercial,1.351591723261329
MAC001443,6632.9070014,0.37882843117253984,0.3357652302551786,3.108,0.06278538812785388,Industrial,0.8839918307817637
MAC001444,2305.2510005000004,0.1315932755166115,0.18018104040604543,3.2460001,0.01141552511415525,Commercial,1.3589002889024493
MAC001445,6544.5470004,0.37354720321917806,0.3604761162840627,2.7909999,0.0,Industrial,0.9624317394064714
MAC001446,2922.4450002999997,0.16686336646682653,0.12143566588752261,1.78,0.03424657534246575,Commercial,0.723419698076417
MAC001448,2910.8600003,0.16615446088817856,0.1380733515092912,1.6619999,0.005707762557077625,Commercial,0.8260225349394548
MAC001450,3544.991001,0.2023396690068493,0.33877376645667806,3.5309999,0.0,Commercial,1.666048578279464
MAC001451,4488.334000700001,0.2562273220699892,0.3181088353708163,3.4690001,0.017123287671232876,Industrial,1.2366836960043528
MAC001452,4209.3950013,0.24027598614646956,0.2680379617762114,2.415,0.005707762557077625,Industrial,1.1109185213877675
MAC001453,2131.9600003,0.1217080550493806,0.14760718983571966,1.882,0.017123287671232876,Residential,1.2029136129353453
MAC001455,1084.7040003000002,0.06191232878424659,0.0704672621088243,1.909,0.0,Residential,1.1200866900109012
MAC001457,1757.1789999999999,0.10030705559995433,0.0680010172176453,0.807,0.01141552511415525,Residential,0.6712367348447146
MAC001458,1232.2600000000002,0.07033848963981963,0.07404628105839853,1.141,0.005707762557077625,Residential,1.0379569490782639
MAC001459,2262.8580002999997,0.12915856166095888,0.15406426932436781,1.762,0.0,Residential,1.1836660405458328
MAC001460,672.268,0.03839995430399269,0.03760850141253646,0.513,0.07420091324200913,Residential,0.9545315997669903
MAC001461,5376.7290007,0.306925961907752,0.20838138656825472,2.494,0.01141552511415525,Industrial,0.6767256170192019
MAC001462,349.29200000000003,0.019941310801552866,0.02438911611205958,0.479,0.0228310502283105,Residential,1.1646413323014644
MAC001463,6444.0610001000005,0.3681058494287673,0.2868480383845841,3.0039999,0.07990867579908677,Industrial,0.7771430304572893
MAC001464,3704.5589999000003,0.21148364445395904,0.2508493178480752,2.2,0.017123287671232876,Commercial,1.180558242460065
